type	timestamp	epoch	step	train_accuracy	predict_labels	actual_labels
train	20200410132954	4	17	0.9485294	[0 0 2 0 2 0 2 2]	[0 0 2 0 2 1 2 2]
train	20200410133005	4	18	0.9513889	[2 0 2 2 0 0 2 0]	[2 0 2 2 0 0 2 0]
train	20200410133015	4	19	0.95394737	[2 1 1 0 2 0 2 2]	[2 1 1 0 2 0 2 2]
train	20200410133026	4	20	0.95	[1 2 0 2 0 0 2 2]	[1 2 0 2 0 1 2 2]
train	20200410133037	4	21	0.95238096	[0 2 0 2 2 2 2 2]	[0 2 0 2 2 2 2 2]
train	20200410133224	4	22	0.95454544	[2 2 0 0 1 2 0 0]	[2 2 0 0 1 2 0 0]
train	20200410133232	4	23	0.95652175	[2 1 1 0 0 2 2 1]	[2 1 1 0 0 2 2 1]
train	20200410133242	4	24	0.9479167	[1 1 1 0 2 0 1 1]	[1 1 1 1 2 1 1 1]
train	20200410133253	4	25	0.95	[2 1 0 1 0 1 1 0]	[2 1 0 1 0 1 1 0]
train	20200410133303	4	26	0.9519231	[2 2 0 2 0 0 2 2]	[2 2 0 2 0 0 2 2]
train	20200410133313	4	27	0.9537037	[1 0 2 0 1 0 2 1]	[1 0 2 0 1 0 2 1]
train	20200410133324	4	28	0.95089287	[1 0 0 1 1 0 1 2]	[0 0 0 1 1 0 1 2]
train	20200410133335	4	29	0.95258623	[1 0 1 1 0 2 0 0]	[1 0 1 1 0 2 0 0]
train	20200410133347	4	30	0.95416665	[1 0 2 1 1 2 2 0]	[1 0 2 1 1 2 2 0]
train	20200410133357	4	31	0.95564514	[2 1 2 2 2 2 0 1]	[2 1 2 2 2 2 0 1]
train	20200410133408	4	32	0.95703125	[1 1 1 1 1 2 2 0]	[1 1 1 1 1 2 2 0]
train	20200410133418	4	33	0.9583333	[2 1 1 2 2 1 1 0]	[2 1 1 2 2 1 1 0]
train	20200410133428	4	34	0.9558824	[2 1 2 1 2 1 2 0]	[2 1 2 0 2 1 2 0]
train	20200410133440	4	35	0.95714283	[1 0 1 2 2 0 2 2]	[1 0 1 2 2 0 2 2]
train	20200410133451	4	36	0.9583333	[2 1 2 1 0 2 2 2]	[2 1 2 1 0 2 2 2]
train	20200410133502	4	37	0.9594595	[2 2 2 2 2 2 1 2]	[2 2 2 2 2 2 1 2]
train	20200410133513	4	38	0.9605263	[2 2 2 1 1 0 1 2]	[2 2 2 1 1 0 1 2]
train	20200410133523	4	39	0.96153843	[2 0 2 0 2 1 2 2]	[2 0 2 0 2 1 2 2]
train	20200410133533	4	40	0.9625	[2 1 1 1 2 0 2 0]	[2 1 1 1 2 0 2 0]
train	20200410133543	4	41	0.9634146	[1 1 0 0 2 0 2 1]	[1 1 0 0 2 0 2 1]
train	20200410133554	4	42	0.96428573	[2 0 0 2 1 1 2 2]	[2 0 0 2 1 1 2 2]
train	20200410133604	4	43	0.96511626	[0 0 1 0 2 2 2 0]	[0 0 1 0 2 2 2 0]
train	20200410133616	4	44	0.96590906	[2 2 2 2 0 2 2 2]	[2 2 2 2 0 2 2 2]
train	20200410133628	4	45	0.96666664	[2 1 0 1 2 2 2 2]	[2 1 0 1 2 2 2 2]
train	20200410133638	4	46	0.9673913	[2 0 2 2 0 2 1 0]	[2 0 2 2 0 2 1 0]
train	20200410133648	4	47	0.9680851	[2 0 2 0 1 2 1 1]	[2 0 2 0 1 2 1 1]
